material,m3_to_t,main_unit,multiplicator_material,perc_fill_material,perc_fill_operational,perc_fill_total,vehicle_name,hub_usage,road_usage,rail_usage,water_usage
aluminium,2.7,tons,1.25,0.5,0.8,0.4,Bakwagen,yes,yes,no,no
brick,2.0,tons,1.25,1.0,1.0,1.0,Bakwagen,yes,yes,no,yes
cement_cover-floor,2.2,m3,1.1,1.0,1.0,1.0,Mixer,no,yes,no,no
concrete_in-situ,2.4,m3,1.0,1.0,1.0,1.0,Mixer,no,yes,no,no
concrete_prefab,2.2,tons,1.25,0.8,0.8,0.6400000000000001,Trekker-opleggercombinatie,no,yes,no,yes
furnishing_stone,3.0,tons,1.2,0.8,0.6,0.48,Bakwagen,yes,yes,yes,no
glass,2.5,tons,1.25,0.5,0.8,0.4,Trekker-opleggercombinatie,yes,yes,no,no
gravel_sand,1.6,tons,1.0,1.0,1.0,1.0,Kiepwagen,no,yes,no,yes
gypsum,2.3,tons,1.25,0.8,0.8,0.6400000000000001,Trekker-opleggercombinatie,yes,yes,no,yes
isolation,0.05,m3,1.1,1.0,1.0,1.0,Trekker-opleggercombinatie,yes,yes,no,yes
plaster,0.9,tons,1.3,0.8,0.8,0.6400000000000001,Bakwagen,yes,yes,no,yes
bitumen,1.0,tons,1.1,1.0,0.6,0.6,Bakwagen,yes,yes,no,yes
steel,7.8,tons,1.5,0.6,1.0,0.6,Trekker-opleggercombinatie,yes,yes,no,yes
timber,0.6,tons,1.3,1.0,0.8,0.8,Trekker-opleggercombinatie,yes,yes,yes,yes
biobased,0.6,tons,1.3,1.0,0.8,0.8,Trekker-opleggercombinatie,yes,yes,yes,yes
modules_2D,,tons,,,,1.0,Trekker-opleggercombinatie,yes,yes,yes,yes
modules_3D,,tons,,,,0.3528076923076923,Trekker-opleggercombinatie,yes,yes,yes,yes
